Month,DayofMonth,DayOfWeek,ArrDelay,DepDelay,Origin,Dest,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1,11,3,1,-5,BDL,PIT,406,0,0,0,0,0
1,11,3,-7,4,BOS,PIT,496,0,0,0,0,0
1,11,3,16,19,BOS,PIT,496,0,0,0,0,16
1,11,3,0,-6,BOS,PIT,496,0,0,0,0,0
1,11,3,-13,-1,CLT,PIT,366,0,0,0,0,0
1,11,3,-4,3,CLT,PIT,366,0,0,0,0,0
1,11,3,-6,1,CLT,PIT,366,0,0,0,0,0
1,11,3,-7,3,CLT,PIT,366,0,0,0,0,0
1,11,3,2,5,CLT,PIT,366,0,0,0,0,0
1,11,3,-9,-6,CLT,PIT,366,0,0,0,0,0
1,11,3,-5,-6,DCA,PIT,205,0,0,0,0,0
1,11,3,-15,-11,DCA,PIT,205,0,0,0,0,0
1,11,3,-8,1,DCA,PIT,205,0,0,0,0,0
1,11,3,7,-6,DEN,PIT,1290,0,0,0,0,0
1,11,3,6,0,DEN,PIT,1290,0,0,0,0,0
1,11,3,-18,-3,FLL,PIT,994,0,0,0,0,0
1,11,3,-24,-7,FLL,PIT,994,0,0,0,0,0
1,11,3,3,-1,LAS,PIT,1910,0,0,0,0,0
1,11,3,-15,0,LAS,PIT,1910,0,0,0,0,0
1,11,3,6,-7,LAX,PIT,2136,0,0,0,0,0
1,11,3,-15,-11,LGA,PIT,335,0,0,0,0,0
1,11,3,-21,-9,LGA,PIT,335,0,0,0,0,0
1,11,3,14,13,LGA,PIT,335,0,0,0,0,0
1,11,3,20,28,LGA,PIT,335,0,0,0,0,20
1,11,3,-19,-3,LGA,PIT,335,0,0,0,0,0
1,11,3,-6,-2,MCO,PIT,834,0,0,0,0,0
1,11,3,-10,-4,MCO,PIT,834,0,0,0,0,0
1,11,3,-19,-7,MCO,PIT,834,0,0,0,0,0
1,11,3,-8,-5,MCO,PIT,834,0,0,0,0,0
1,11,3,-26,-5,MIA,PIT,1013,0,0,0,0,0
1,11,3,3,-2,ORD,PIT,412,0,0,0,0,0
1,11,3,42,49,ORD,PIT,412,0,0,0,0,42
1,11,3,21,21,ORD,PIT,412,0,0,0,0,21
1,11,3,45,59,ORD,PIT,412,0,0,0,0,45
1,11,3,-2,-16,PBI,PIT,952,0,0,0,0,0
1,11,3,211,213,PHL,PIT,267,0,0,12,0,199
1,11,3,-18,-9,PHL,PIT,267,0,0,0,0,0
1,11,3,-3,-2,PHL,PIT,267,0,0,0,0,0
1,11,3,11,-9,PHL,PIT,267,0,0,0,0,0
1,11,3,166,173,PHL,PIT,267,0,0,0,0,166
1,11,3,80,105,PHL,PIT,267,23,0,0,0,57
1,11,3,23,24,PHL,PIT,267,18,0,0,0,5
1,11,3,131,149,PHL,PIT,267,131,0,0,0,0
1,11,3,63,73,PHL,PIT,267,0,0,0,0,63
1,11,3,14,-3,PHX,PIT,1813,0,0,0,0,0
1,11,3,1,-7,PHX,PIT,1813,0,0,0,0,0
1,11,3,3,-4,PHX,PIT,1813,0,0,0,0,0
1,11,3,-10,-6,PIT,BDL,406,0,0,0,0,0
1,11,3,13,27,PIT,BOS,496,0,0,0,0,0
1,11,3,-7,-6,PIT,BOS,496,0,0,0,0,0
1,11,3,63,55,PIT,BOS,496,55,0,8,0,0
1,11,3,35,-3,PIT,BOS,496,0,0,35,0,0
1,11,3,6,-3,PIT,CLT,366,0,0,0,0,0
1,11,3,-4,-2,PIT,CLT,366,0,0,0,0,0
1,11,3,-6,0,PIT,CLT,366,0,0,0,0,0
1,11,3,-6,-5,PIT,CLT,366,0,0,0,0,0
1,11,3,0,-2,PIT,CLT,366,0,0,0,0,0
1,11,3,2,-4,PIT,CLT,366,0,0,0,0,0
1,11,3,20,0,PIT,DCA,205,0,0,20,0,0
1,11,3,-19,-6,PIT,DCA,205,0,0,0,0,0
1,11,3,1,1,PIT,DCA,205,0,0,0,0,0
1,11,3,-11,0,PIT,DEN,1290,0,0,0,0,0
1,11,3,-11,-1,PIT,DEN,1290,0,0,0,0,0
1,11,3,-7,-3,PIT,FLL,994,0,0,0,0,0
1,11,3,17,1,PIT,FLL,994,0,0,17,0,0
1,11,3,-18,-2,PIT,LAS,1910,0,0,0,0,0
1,11,3,41,71,PIT,LAS,1910,41,0,0,0,0
1,11,3,-26,2,PIT,LAX,2136,0,0,0,0,0
1,11,3,26,-6,PIT,LGA,335,0,0,26,0,0
1,11,3,42,4,PIT,LGA,335,0,0,42,0,0
1,11,3,7,-5,PIT,LGA,335,0,0,0,0,0
1,11,3,44,-4,PIT,LGA,335,0,0,44,0,0
1,11,3,47,56,PIT,MCO,834,47,0,0,0,0
1,11,3,3,-4,PIT,MCO,834,0,0,0,0,0
1,11,3,8,11,PIT,MCO,834,0,0,0,0,0
1,11,3,11,2,PIT,MCO,834,0,0,0,0,0
1,11,3,8,-4,PIT,MIA,1013,0,0,0,0,0
1,11,3,7,17,PIT,ORD,412,0,0,0,0,0
1,11,3,7,-3,PIT,ORD,412,0,0,0,0,0
1,11,3,58,-5,PIT,ORD,412,0,0,58,0,0
1,11,3,64,36,PIT,ORD,412,0,0,64,0,0
1,11,3,4,-6,PIT,PBI,952,0,0,0,0,0
1,11,3,98,31,PIT,PHL,267,0,0,88,0,10
1,11,3,101,75,PIT,PHL,267,0,0,101,0,0
1,11,3,74,58,PIT,PHL,267,0,0,74,0,0
1,11,3,-1,-7,PIT,PHL,267,0,0,0,0,0
1,11,3,32,-1,PIT,PHL,267,0,0,32,0,0
1,11,3,5,0,PIT,PHL,267,0,0,0,0,0
1,11,3,126,133,PIT,PHL,267,0,0,126,0,0
1,11,3,8,-4,PIT,PHL,267,0,0,0,0,0
1,11,3,-8,-4,PIT,PHL,267,0,0,0,0,0
1,11,3,-34,-1,PIT,PHX,1813,0,0,0,0,0
1,11,3,-28,0,PIT,PHX,1813,0,0,0,0,0
1,11,3,-39,-1,PIT,PHX,1813,0,0,0,0,0
1,11,3,5,-3,PIT,RSW,966,0,0,0,0,0
1,11,3,-3,-5,PIT,TPA,873,0,0,0,0,0
1,11,3,-5,-5,PIT,TPA,873,0,0,0,0,0
1,11,3,-24,-6,RSW,PIT,966,0,0,0,0,0
1,11,3,-9,0,TPA,PIT,873,0,0,0,0,0
1,11,3,2,4,TPA,PIT,873,0,0,0,0,0
1,12,4,-10,-1,BDL,PIT,406,0,0,0,0,0
1,12,4,-10,0,BOS,PIT,496,0,0,0,0,0
1,12,4,-13,-11,BOS,PIT,496,0,0,0,0,0
1,12,4,,,BOS,PIT,496,0,0,0,0,0
1,12,4,-11,5,CLT,PIT,366,0,0,0,0,0
1,12,4,-8,-3,CLT,PIT,366,0,0,0,0,0
1,12,4,-9,6,CLT,PIT,366,0,0,0,0,0
1,12,4,-4,3,CLT,PIT,366,0,0,0,0,0
1,12,4,-14,-5,CLT,PIT,366,0,0,0,0,0
1,12,4,1,8,CLT,PIT,366,0,0,0,0,0
1,12,4,114,124,DCA,PIT,205,0,0,0,0,114
1,12,4,9,14,DCA,PIT,205,0,0,0,0,0
1,12,4,-12,-1,DCA,PIT,205,0,0,0,0,0
1,12,4,15,28,DEN,PIT,1290,15,0,0,0,0
1,12,4,-1,1,DEN,PIT,1290,0,0,0,0,0
1,12,4,-16,-5,FLL,PIT,994,0,0,0,0,0
1,12,4,1,9,FLL,PIT,994,0,0,0,0,0
1,12,4,-10,-8,LAS,PIT,1910,0,0,0,0,0
1,12,4,-8,-1,LAS,PIT,1910,0,0,0,0,0
1,12,4,4,-1,LAS,PIT,1910,0,0,0,0,0
1,12,4,-4,-3,LAX,PIT,2136,0,0,0,0,0
1,12,4,4,-3,LAX,PIT,2136,0,0,0,0,0
1,12,4,-21,-10,LGA,PIT,335,0,0,0,0,0
1,12,4,-21,-7,LGA,PIT,335,0,0,0,0,0
1,12,4,80,88,LGA,PIT,335,1,0,0,0,79
1,12,4,-3,2,LGA,PIT,335,0,0,0,0,0
1,12,4,-7,10,LGA,PIT,335,0,0,0,0,0
1,12,4,-14,-9,MCO,PIT,834,0,0,0,0,0
1,12,4,-8,-4,MCO,PIT,834,0,0,0,0,0
1,12,4,-6,-5,MCO,PIT,834,0,0,0,0,0
1,12,4,-6,-7,MCO,PIT,834,0,0,0,0,0
1,12,4,-4,-3,MIA,PIT,1013,0,0,0,0,0
1,12,4,-10,-6,ORD,PIT,412,0,0,0,0,0
1,12,4,-7,-4,ORD,PIT,412,0,0,0,0,0
1,12,4,-29,-12,ORD,PIT,412,0,0,0,0,0
1,12,4,-11,-3,ORD,PIT,412,0,0,0,0,0
1,12,4,-13,-7,PBI,PIT,952,0,0,0,0,0
1,12,4,-2,7,PHL,PIT,267,0,0,0,0,0
1,12,4,-11,-3,PHL,PIT,267,0,0,0,0,0
1,12,4,45,61,PHL,PIT,267,0,0,0,0,45
1,12,4,-9,2,PHL,PIT,267,0,0,0,0,0
1,12,4,-29,-9,PHL,PIT,267,0,0,0,0,0
1,12,4,18,34,PHL,PIT,267,0,0,0,0,18
1,12,4,-10,6,PHL,PIT,267,0,0,0,0,0
1,12,4,-13,0,PHL,PIT,267,0,0,0,0,0
1,12,4,4,20,PHL,PIT,267,0,0,0,0,0
1,12,4,-17,-1,PHL,PIT,267,0,0,0,0,0
1,12,4,-6,-7,PHX,PIT,1813,0,0,0,0,0
1,12,4,23,21,PHX,PIT,1813,21,0,2,0,0
1,12,4,0,-1,PHX,PIT,1813,0,0,0,0,0
1,12,4,-11,-8,PIT,BDL,406,0,0,0,0,0
1,12,4,4,15,PIT,BOS,496,0,0,0,0,0
1,12,4,4,-4,PIT,BOS,496,0,0,0,0,0
1,12,4,-4,-2,PIT,BOS,496,0,0,0,0,0
1,12,4,-15,-6,PIT,BOS,496,0,0,0,0,0
1,12,4,-11,-7,PIT,CLT,366,0,0,0,0,0
1,12,4,-14,-1,PIT,CLT,366,0,0,0,0,0
1,12,4,-5,-2,PIT,CLT,366,0,0,0,0,0
1,12,4,14,0,PIT,CLT,366,0,0,0,0,0
1,12,4,-13,-4,PIT,CLT,366,0,0,0,0,0
1,12,4,-6,4,PIT,CLT,366,0,0,0,0,0
1,12,4,-8,-3,PIT,DCA,205,0,0,0,0,0
1,12,4,-24,-7,PIT,DCA,205,0,0,0,0,0
1,12,4,21,-1,PIT,DCA,205,0,0,21,0,0
1,12,4,-24,-7,PIT,DEN,1290,0,0,0,0,0
1,12,4,-17,-2,PIT,DEN,1290,0,0,0,0,0
1,12,4,-6,6,PIT,FLL,994,0,0,0,0,0
1,12,4,-6,-6,PIT,FLL,994,0,0,0,0,0
1,12,4,0,0,PIT,LAS,1910,0,0,0,0,0
1,12,4,-25,0,PIT,LAS,1910,0,0,0,0,0
1,12,4,-12,0,PIT,LAS,1910,0,0,0,0,0
1,12,4,-17,0,PIT,LAX,2136,0,0,0,0,0
1,12,4,-1,20,PIT,LAX,2136,0,0,0,0,0
1,12,4,-14,-3,PIT,LGA,335,0,0,0,0,0
1,12,4,-7,-10,PIT,LGA,335,0,0,0,0,0
1,12,4,12,-5,PIT,LGA,335,0,0,0,0,0
1,12,4,105,98,PIT,LGA,335,0,0,7,0,98
1,12,4,-16,-2,PIT,MCO,834,0,0,0,0,0
1,12,4,-14,-3,PIT,MCO,834,0,0,0,0,0
1,12,4,-6,4,PIT,MCO,834,0,0,0,0,0
1,12,4,-5,1,PIT,MCO,834,0,0,0,0,0
1,12,4,1,-3,PIT,MIA,1013,0,0,0,0,0
1,12,4,3,-4,PIT,ORD,412,0,0,0,0,0
1,12,4,51,61,PIT,ORD,412,0,0,0,0,51
1,12,4,-18,-3,PIT,ORD,412,0,0,0,0,0
1,12,4,-5,-5,PIT,ORD,412,0,0,0,0,0
1,12,4,-11,-2,PIT,PBI,952,0,0,0,0,0
1,12,4,6,-4,PIT,PHL,267,0,0,0,0,0
1,12,4,36,40,PIT,PHL,267,0,0,0,0,36
1,12,4,-10,-1,PIT,PHL,267,0,0,0,0,0
1,12,4,-10,-1,PIT,PHL,267,0,0,0,0,0
1,12,4,0,-9,PIT,PHL,267,0,0,0,0,0
1,12,4,-12,-4,PIT,PHL,267,0,0,0,0,0
1,12,4,-14,-6,PIT,PHL,267,0,0,0,0,0
1,12,4,30,-1,PIT,PHL,267,0,0,30,0,0
1,12,4,3,-5,PIT,PHL,267,0,0,0,0,0
1,12,4,0,-4,PIT,PHL,267,0,0,0,0,0
1,12,4,-22,-2,PIT,PHX,1813,0,0,0,0,0
1,12,4,-16,-2,PIT,PHX,1813,0,0,0,0,0
1,12,4,-35,1,PIT,PHX,1813,0,0,0,0,0
1,12,4,10,-1,PIT,RSW,966,0,0,0,0,0
1,12,4,-16,3,PIT,SFO,2254,0,0,0,0,0
1,12,4,-10,2,PIT,TPA,873,0,0,0,0,0
1,12,4,-3,3,PIT,TPA,873,0,0,0,0,0
1,12,4,4,-1,RSW,PIT,966,0,0,0,0,0
1,12,4,14,22,SFO,PIT,2254,0,0,0,0,0
1,12,4,-1,0,TPA,PIT,873,0,0,0,0,0
1,12,4,0,1,TPA,PIT,873,0,0,0,0,0
1,13,5,13,13,BDL,PIT,406,0,0,0,0,0
1,13,5,-11,1,BOS,PIT,496,0,0,0,0,0
1,13,5,-2,1,BOS,PIT,496,0,0,0,0,0
1,13,5,14,-8,BOS,PIT,496,0,0,0,0,0
1,13,5,28,44,CLT,PIT,366,9,0,0,0,19
1,13,5,-7,-5,CLT,PIT,366,0,0,0,0,0
1,13,5,25,38,CLT,PIT,366,4,0,0,0,21
1,13,5,30,20,CLT,PIT,366,20,0,10,0,0
1,13,5,12,26,CLT,PIT,366,0,0,0,0,0
1,13,5,-7,9,CLT,PIT,366,0,0,0,0,0
1,13,5,,,DCA,PIT,205,0,0,0,0,0
1,13,5,55,60,DCA,PIT,205,0,0,2,0,53
1,13,5,82,91,DCA,PIT,205,52,0,0,0,30
1,13,5,2,6,DEN,PIT,1290,0,0,0,0,0
1,13,5,5,-1,DEN,PIT,1290,0,0,0,0,0
1,13,5,-7,1,FLL,PIT,994,0,0,0,0,0
1,13,5,-9,13,FLL,PIT,994,0,0,0,0,0
1,13,5,2,-4,LAS,PIT,1910,0,0,0,0,0
1,13,5,-3,6,LAS,PIT,1910,0,0,0,0,0
1,13,5,10,3,LAS,PIT,1910,0,0,0,0,0
1,13,5,2,-6,LAX,PIT,2136,0,0,0,0,0
1,13,5,-3,-4,LAX,PIT,2136,0,0,0,0,0
1,13,5,-8,-6,LGA,PIT,335,0,0,0,0,0
1,13,5,27,37,LGA,PIT,335,0,0,0,0,27
1,13,5,26,44,LGA,PIT,335,2,0,0,0,24
1,13,5,-22,-5,LGA,PIT,335,0,0,0,0,0
1,13,5,35,46,LGA,PIT,335,0,0,0,0,35
1,13,5,20,28,MCO,PIT,834,7,0,0,0,13
1,13,5,1,4,MCO,PIT,834,0,0,0,0,0
1,13,5,-10,-4,MCO,PIT,834,0,0,0,0,0
1,13,5,45,59,MCO,PIT,834,2,0,0,0,43
1,13,5,-22,-7,MCO,PIT,834,0,0,0,0,0
1,13,5,-12,-2,MIA,PIT,1013,0,0,0,0,0
1,13,5,-1,-5,ORD,PIT,412,0,0,0,0,0
1,13,5,10,14,ORD,PIT,412,0,0,0,0,0
1,13,5,30,35,ORD,PIT,412,0,0,0,0,30
1,13,5,33,34,ORD,PIT,412,1,0,0,0,32
1,13,5,8,19,PBI,PIT,952,0,0,0,0,0
1,13,5,46,50,PHL,PIT,267,5,0,0,0,41
1,13,5,15,13,PHL,PIT,267,13,0,2,0,0
1,13,5,23,40,PHL,PIT,267,0,0,0,0,23
1,13,5,18,-4,PHL,PIT,267,0,0,18,0,0
1,13,5,13,32,PHL,PIT,267,0,0,0,0,0
1,13,5,69,79,PHL,PIT,267,2,0,0,0,67
1,13,5,-5,-1,PHL,PIT,267,0,0,0,0,0
1,13,5,125,108,PHL,PIT,267,17,0,17,0,91
1,13,5,363,372,PHL,PIT,267,41,0,0,0,322
1,13,5,55,71,PHL,PIT,267,2,0,0,0,53
1,13,5,8,-2,PHX,PIT,1813,0,0,0,0,0
1,13,5,9,5,PHX,PIT,1813,0,0,0,0,0
1,13,5,6,-5,PHX,PIT,1813,0,0,0,0,0
1,13,5,21,10,PIT,BDL,406,10,0,11,0,0
1,13,5,-10,-3,PIT,BOS,496,0,0,0,0,0
1,13,5,85,96,PIT,BOS,496,85,0,0,0,0
1,13,5,48,41,PIT,BOS,496,1,0,7,0,40
1,13,5,-1,0,PIT,BOS,496,0,0,0,0,0
1,13,5,2,-4,PIT,CLT,366,0,0,0,0,0
1,13,5,22,3,PIT,CLT,366,0,0,22,0,0
1,13,5,27,-2,PIT,CLT,366,0,0,27,0,0
1,13,5,-8,-5,PIT,CLT,366,0,0,0,0,0
1,13,5,38,22,PIT,CLT,366,4,0,16,0,18
1,13,5,-12,-5,PIT,CLT,366,0,0,0,0,0
1,13,5,0,-2,PIT,DCA,205,0,0,0,0,0
1,13,5,31,38,PIT,DCA,205,31,0,0,0,0
1,13,5,23,7,PIT,DCA,205,7,0,16,0,0
1,13,5,-26,-1,PIT,DEN,1290,0,0,0,0,0
1,13,5,-18,1,PIT,DEN,1290,0,0,0,0,0
1,13,5,57,49,PIT,FLL,994,0,0,8,0,49
1,13,5,0,1,PIT,FLL,994,0,0,0,0,0
1,13,5,0,18,PIT,LAS,1910,0,0,0,0,0
1,13,5,7,23,PIT,LAS,1910,0,0,0,0,0
1,13,5,-14,4,PIT,LAS,1910,0,0,0,0,0
